Data Size,Time (ms)
1000,1
2000,0
3000,1
4000,1
5000,2
6000,2
7000,1
8000,2
9000,1
10000,1
11000,1
12000,2
13000,2
14000,5
15000,3
16000,3
17000,2
18000,3
19000,3
20000,2
21000,3
22000,3
23000,4
24000,4
25000,4
26000,4
27000,5
28000,6
29000,4
30000,5
31000,4
32000,4
33000,5
34000,5
35000,5
36000,6
37000,5
38000,5
39000,7
40000,5
41000,6
42000,6
43000,9
44000,11
45000,10
46000,10
47000,12
48000,10
49000,10
50000,10
51000,9
52000,10
53000,9
54000,11
55000,14
56000,13
57000,12
58000,13
59000,10
60000,12
61000,16
62000,12
63000,12
64000,12
65000,15
66000,16
67000,14
68000,15
69000,18
70000,16
71000,17
72000,19
73000,16
74000,14
75000,15
76000,14
77000,14
78000,17
79000,25
80000,19
81000,15
82000,20
83000,17
84000,17
85000,19
86000,25
87000,22
88000,19
89000,18
90000,19
91000,21
92000,18
93000,26
94000,21
95000,19
96000,20
97000,21
98000,26
99000,25
100000,22
101000,21
102000,25
103000,22
104000,29
105000,22
106000,18
107000,23
108000,27
109000,29
110000,24
111000,27
112000,26
113000,33
114000,29
115000,29
116000,28
117000,28
118000,34
119000,30
120000,30
121000,31
122000,30
123000,34
124000,31
125000,29
126000,37
127000,32
128000,31
129000,32
130000,36
131000,45
132000,35
133000,36
134000,38
135000,45
136000,34
137000,34
138000,44
139000,38
140000,44
141000,38
142000,40
143000,40
144000,35
145000,36
146000,39
147000,36
148000,44
149000,44
150000,41
151000,43
152000,39
153000,48
154000,44
155000,43
156000,51
157000,53
158000,45
159000,51
160000,52
161000,45
162000,47
163000,55
164000,46
165000,49
166000,57
167000,47
168000,45
169000,57
170000,51
171000,51
172000,59
173000,49
174000,43
175000,60
176000,49
177000,57
178000,58
179000,56
180000,56
181000,55
182000,54
183000,55
184000,57
185000,58
186000,55
187000,48
188000,62
189000,56
190000,64
191000,62
192000,62
193000,69
194000,58
195000,59
196000,68
197000,76
198000,67
199000,46
200000,64
201000,64
202000,70
203000,71
204000,65
205000,71
206000,65
207000,73
208000,65
209000,74
210000,75
211000,82
212000,69
213000,77
214000,72
215000,83
216000,70
217000,78
218000,73
219000,85
220000,74
221000,58
222000,75
223000,92
224000,79
225000,84
226000,76
227000,89
228000,84
229000,86
230000,81
231000,82
232000,86
233000,90
234000,87
235000,114
236000,86
237000,89
238000,83
239000,94
240000,84
241000,72
242000,88
243000,95
244000,88
245000,89
246000,91
247000,96
248000,99
249000,93
250000,90
251000,97
252000,92
253000,95
254000,104
255000,94
256000,93
257000,102
258000,90
259000,99
260000,75
261000,107
262000,100
263000,102
264000,107
265000,102
266000,102
267000,101
268000,99
269000,83
270000,110
271000,115
272000,102
273000,114
274000,105
275000,128
276000,109
277000,104
278000,116
279000,111
280000,111
281000,116
282000,113
283000,108
284000,113
285000,118
286000,87
287000,116
288000,113
289000,128
290000,115
291000,120
292000,133
293000,122
294000,95
295000,139
296000,165
297000,141
298000,121
299000,123
300000,122
301000,130
302000,101
303000,127
304000,132
305000,133
306000,134
307000,131
308000,127
309000,131
310000,136
311000,142
312000,132
313000,146
314000,134
315000,135
316000,141
317000,96
318000,145
319000,138
320000,155
321000,144
322000,150
323000,143
324000,93
325000,144
326000,353
327000,216
328000,183
329000,160
330000,151
331000,98
332000,152
333000,149
334000,164
335000,146
336000,160
337000,152
338000,113
339000,155
340000,161
341000,156
342000,160
343000,153
344000,168
345000,126
346000,167
347000,158
348000,172
349000,159
350000,169
351000,160
352000,181
353000,168
354000,168
355000,160
356000,165
357000,164
358000,113
359000,165
360000,169
361000,171
362000,164
363000,176
364000,143
365000,177
366000,172
367000,187
368000,176
369000,175
370000,173
371000,154
372000,186
373000,181
374000,189
375000,180
376000,189
377000,135
378000,182
379000,191
380000,186
381000,189
382000,187
383000,127
384000,189
385000,186
386000,196
387000,186
388000,203
389000,137
390000,190
391000,198
392000,201
393000,206
394000,195
395000,149
396000,200
397000,195
398000,205
399000,202
400000,199
401000,180
402000,199
403000,205
404000,217
405000,205
406000,203
407000,203
408000,208
409000,214
410000,255
411000,211
412000,192
413000,214
414000,212
415000,210
416000,235
417000,243
418000,186
419000,220
420000,222
421000,220
422000,226
423000,195
424000,214
425000,216
426000,229
427000,213
428000,219
429000,178
430000,218
431000,230
432000,237
433000,230
434000,154
435000,235
436000,248
437000,230
438000,227
439000,186
440000,235
441000,232
442000,232
443000,244
444000,169
445000,237
446000,246
447000,266
448000,249
449000,172
450000,247
451000,252
452000,248
453000,239
454000,164
455000,248
456000,305
457000,246
458000,245
459000,174
460000,255
461000,251
462000,274
463000,325
464000,188
465000,302
466000,263
467000,256
468000,246
469000,200
470000,267
471000,257
472000,257
473000,264
474000,213
475000,271
476000,261
477000,272
478000,261
479000,245
480000,273
481000,278
482000,268
483000,273
484000,239
485000,266
486000,275
487000,278
488000,364
489000,312
490000,281
491000,294
492000,281
493000,282
494000,279
495000,278
496000,283
497000,272
498000,195
499000,285
500000,289
501000,292
502000,291
503000,280
504000,282
505000,293
506000,283
507000,215
508000,298
509000,298
510000,299
511000,298
512000,267
513000,298
514000,293
515000,303
516000,198
517000,293
518000,297
519000,303
520000,295
521000,308
522000,306
523000,306
524000,312
525000,237
526000,310
527000,311
528000,311
529000,210
530000,302
531000,309
532000,310
533000,243
534000,306
535000,315
536000,312
537000,250
538000,314
539000,319
540000,308
541000,320
542000,316
543000,332
544000,318
545000,321
546000,256
547000,319
548000,316
549000,322
550000,235
551000,322
552000,345
553000,351
554000,238
555000,332
556000,333
557000,337
558000,239
559000,334
560000,353
561000,348
562000,266
563000,346
564000,350
565000,350
566000,265
567000,351
568000,357
569000,355
570000,265
571000,355
572000,356
573000,371
574000,267
575000,349
576000,358
577000,363
578000,278
579000,356
580000,370
581000,355
582000,285
583000,352
584000,369
585000,353
586000,291
587000,359
588000,362
589000,367
590000,302
591000,415
592000,361
593000,366
594000,342
595000,417
596000,381
597000,365
598000,330
599000,398
600000,389
601000,374
602000,339
603000,373
604000,371
605000,386
606000,358
607000,410
608000,429
609000,391
610000,371
611000,384
612000,382
613000,386
614000,387
615000,393
616000,388
617000,264
618000,394
619000,397
620000,391
621000,342
622000,400
623000,396
624000,345
625000,396
626000,408
627000,398
628000,305
629000,409
630000,408
631000,365
632000,400
633000,410
634000,404
635000,298
636000,430
637000,407
638000,382
639000,417
640000,439
641000,468
642000,303
643000,426
644000,417
645000,341
646000,422
647000,426
648000,423
649000,337
650000,424
651000,417
652000,304
653000,428
654000,447
655000,423
656000,447
657000,423
658000,433
659000,292
660000,437
661000,436
662000,367
663000,430
664000,445
665000,437
666000,347
667000,443
668000,441
669000,298
670000,445
671000,495
672000,357
673000,518
674000,517
675000,466
676000,417
677000,461
678000,452
679000,314
680000,461
681000,480
682000,325
683000,459
684000,463
685000,400
686000,459
687000,485
688000,515
689000,435
690000,518
691000,551
692000,901
693000,465
694000,481
695000,534
696000,998
697000,708
698000,421
699000,811
700000,1000
701000,327
702000,375
703000,523
704000,335
705000,545
706000,548
707000,339
708000,403
709000,488
710000,301
711000,441
712000,577
713000,482
714000,505
715000,287
716000,399
717000,339
718000,392
719000,346
720000,392
721000,399
722000,301
723000,445
724000,442
725000,330
726000,422
727000,321
728000,304
729000,380
730000,335
731000,351
732000,446
733000,358
734000,401
735000,586
736000,415
737000,446
738000,409
739000,580
740000,367
741000,329
742000,313
743000,304
744000,425
745000,368
746000,293
747000,429
748000,383
749000,302
750000,542
751000,520
752000,385
753000,480
754000,511
755000,595
756000,466
757000,351
758000,471
759000,492
760000,326
761000,452
762000,394
763000,466
764000,475
765000,403
766000,444
767000,379
768000,337
769000,417
770000,317
771000,338
772000,309
773000,489
774000,501
775000,375
776000,364
777000,486
778000,373
779000,333
780000,383
781000,469
782000,410
783000,396
784000,331
785000,388
786000,344
787000,358
788000,498
789000,437
790000,508
791000,355
792000,540
793000,380
794000,509
795000,462
796000,518
797000,348
798000,473
799000,408
800000,409
801000,848
802000,478
803000,401
804000,421
805000,399
806000,483
807000,477
808000,375
809000,388
810000,465
811000,423
812000,505
813000,334
814000,362
815000,380
816000,506
817000,472
818000,433
819000,380
820000,365
821000,392
822000,503
823000,396
824000,553
825000,378
826000,540
827000,371
828000,597
829000,452
830000,562
831000,367
832000,607
833000,424
834000,543
835000,450
836000,563
837000,445
838000,600
839000,402
840000,579
841000,543
842000,423
843000,389
844000,457
845000,457
846000,517
847000,545
848000,524
849000,403
850000,467
851000,561
852000,499
853000,397
854000,410
855000,483
856000,438
857000,491
858000,519
859000,479
860000,448
861000,420
862000,527
863000,422
864000,500
865000,464
866000,443
867000,403
868000,450
869000,439
870000,471
871000,437
872000,574
873000,479
874000,627
875000,641
876000,568
877000,465
878000,622
879000,455
880000,577
881000,460
882000,566
883000,421
884000,579
885000,538
886000,670
887000,655
888000,568
889000,729
890000,488
891000,768
892000,714
893000,511
894000,683
895000,480
896000,549
897000,383
898000,542
899000,409
900000,548
901000,514
902000,410
903000,558
904000,397
905000,546
906000,433
907000,509
908000,548
909000,472
910000,391
911000,559
912000,393
913000,549
914000,456
915000,467
916000,558
917000,458
918000,434
919000,411
920000,386
921000,389
922000,392
923000,439
924000,478
925000,607
926000,579
927000,570
928000,574
929000,434
930000,568
931000,430
932000,571
933000,523
934000,595
935000,523
936000,581
937000,458
938000,607
939000,420
940000,532
941000,582
942000,401
943000,585
944000,445
945000,485
946000,604
947000,586
948000,439
949000,585
950000,498
951000,592
952000,565
953000,454
954000,597
955000,512
956000,460
957000,623
958000,590
959000,455
960000,440
961000,512
962000,458
963000,469
964000,440
965000,604
966000,605
967000,480
968000,458
969000,460
970000,608
971000,585
972000,460
973000,657
974000,457
975000,521
976000,621
977000,514
978000,485
979000,539
980000,628
981000,501
982000,458
983000,494
984000,563
985000,467
986000,445
987000,432
988000,615
989000,468
990000,485
991000,512
992000,511
993000,462
994000,497
995000,627
996000,515
997000,501
998000,513
999000,505
1000000,572
