Data Size,Search Count,Time (ns)
1000,100,608700
2000,200,107700
3000,300,181300
4000,400,226400
5000,500,121400
6000,600,132000
7000,700,116100
8000,800,125100
9000,900,142100
10000,1000,253000
11000,1100,179800
12000,1200,190100
13000,1300,134900
14000,1400,148000
15000,1500,187400
16000,1600,193600
17000,1700,406600
18000,1800,224700
19000,1900,274300
20000,2000,233100
21000,2100,230200
22000,2200,245400
23000,2300,666700
24000,2400,298000
25000,2500,344300
26000,2600,362600
27000,2700,366000
28000,2800,440100
29000,2900,423000
30000,3000,389200
31000,3100,422200
32000,3200,447400
33000,3300,382400
34000,3400,393100
35000,3500,506700
36000,3600,566100
37000,3700,554600
38000,3800,657300
39000,3900,560800
40000,4000,504500
41000,4100,780100
42000,4200,527100
43000,4300,909300
44000,4400,803800
45000,4500,589800
46000,4600,940300
47000,4700,610500
48000,4800,612300
49000,4900,642200
50000,5000,653800
51000,5100,702000
52000,5200,671100
53000,5300,762800
54000,5400,728600
55000,5500,831800
56000,5600,1137300
57000,5700,1058300
58000,5800,788600
59000,5900,913200
60000,6000,809400
61000,6100,851700
62000,6200,858900
63000,6300,907700
64000,6400,983800
65000,6500,935900
66000,6600,1070700
67000,6700,1090300
68000,6800,2769500
69000,6900,1038400
70000,7000,1070200
71000,7100,1263500
72000,7200,2152700
73000,7300,1078300
74000,7400,1365600
75000,7500,1355300
76000,7600,1276500
77000,7700,1927900
78000,7800,1578200
79000,7900,1216200
80000,8000,1245600
81000,8100,1283200
82000,8200,1307000
83000,8300,1348500
84000,8400,1360300
85000,8500,1446400
86000,8600,1367900
87000,8700,1373400
88000,8800,1473700
89000,8900,1665300
90000,9000,1819100
91000,9100,1491600
92000,9200,1396600
93000,9300,2422500
94000,9400,1497200
95000,9500,1588000
96000,9600,1661400
97000,9700,4202500
98000,9800,1955600
99000,9900,1627900
100000,10000,1791200
101000,10100,1639000
102000,10200,1607700
103000,10300,2311800
104000,10400,3777000
105000,10500,1827200
106000,10600,1757500
107000,10700,1741700
108000,10800,1855400
109000,10900,3051900
110000,11000,2056600
111000,11100,1976100
112000,11200,3664300
113000,11300,4791500
114000,11400,2204200
115000,11500,2154300
116000,11600,2836000
117000,11700,1926700
118000,11800,1975700
119000,11900,2665000
120000,12000,3000700
121000,12100,2917200
122000,12200,3116700
123000,12300,5693000
124000,12400,2156500
125000,12500,2550700
126000,12600,2174700
127000,12700,4024800
128000,12800,2253900
129000,12900,4009600
130000,13000,2538700
131000,13100,2779100
132000,13200,2930700
133000,13300,4400300
134000,13400,2418200
135000,13500,3224000
136000,13600,2385800
137000,13700,2932800
138000,13800,5134600
139000,13900,2443900
140000,14000,2704700
141000,14100,2786400
142000,14200,4787900
143000,14300,2450200
144000,14400,3358300
145000,14500,4608300
146000,14600,8097000
147000,14700,3361500
148000,14800,4973200
149000,14900,5610400
150000,15000,3901300
151000,15100,2769600
152000,15200,2762000
153000,15300,2891800
154000,15400,2885900
155000,15500,3552700
156000,15600,3076900
157000,15700,6761700
158000,15800,4718300
159000,15900,3352400
160000,16000,3825900
161000,16100,3318200
162000,16200,3165600
163000,16300,2688300
164000,16400,5594000
165000,16500,6439800
166000,16600,3402500
167000,16700,3250600
168000,16800,3269400
169000,16900,7669800
170000,17000,5655300
171000,17100,3680400
172000,17200,3694400
173000,17300,5893800
174000,17400,3669800
175000,17500,3628800
176000,17600,3436300
177000,17700,4389900
178000,17800,6032400
179000,17900,4491800
180000,18000,4308800
181000,18100,3984400
182000,18200,3750800
183000,18300,7421700
184000,18400,4128600
185000,18500,5145500
186000,18600,3681300
187000,18700,5559600
188000,18800,5027300
189000,18900,5569300
190000,19000,4285200
191000,19100,5909700
192000,19200,3932400
193000,19300,6949800
194000,19400,7406200
195000,19500,4043600
196000,19600,4472600
197000,19700,5240900
198000,19800,5500300
199000,19900,4216100
200000,20000,5445000
201000,20100,5071300
202000,20200,5527700
203000,20300,6772500
204000,20400,5192400
205000,20500,6961700
206000,20600,7733800
207000,20700,7244300
208000,20800,6385200
209000,20900,5573500
210000,21000,4932800
211000,21100,5187700
212000,21200,4336600
213000,21300,8355600
214000,21400,6953800
215000,21500,7267100
216000,21600,9243600
217000,21700,6519200
218000,21800,8896300
219000,21900,7086600
220000,22000,9630700
221000,22100,6272500
222000,22200,8960500
223000,22300,7342300
224000,22400,5036600
225000,22500,7341000
226000,22600,8580900
227000,22700,5412400
228000,22800,8169000
229000,22900,5711200
230000,23000,9160400
231000,23100,7824300
232000,23200,5777400
233000,23300,9598400
234000,23400,9171200
235000,23500,6051300
236000,23600,7336900
237000,23700,8084800
238000,23800,6928300
239000,23900,6002500
240000,24000,8149200
241000,24100,8990700
242000,24200,10631300
243000,24300,6064600
244000,24400,6491600
245000,24500,9645300
246000,24600,6626900
247000,24700,9026000
248000,24800,8191800
249000,24900,10767900
250000,25000,8801200
251000,25100,5486600
252000,25200,8599300
253000,25300,11402200
254000,25400,6889400
255000,25500,6607400
256000,25600,6970100
257000,25700,6629900
258000,25800,10135200
259000,25900,8874600
260000,26000,9150200
261000,26100,9039900
262000,26200,6933700
263000,26300,6749700
264000,26400,7765100
265000,26500,8258600
266000,26600,7693100
267000,26700,7624200
268000,26800,9996100
269000,26900,8365300
270000,27000,9989200
271000,27100,7581500
272000,27200,12640500
273000,27300,8076000
274000,27400,5244600
275000,27500,11566400
276000,27600,10547500
277000,27700,8025200
278000,27800,11822200
279000,27900,10518100
280000,28000,7358400
281000,28100,11428900
282000,28200,9315900
283000,28300,8354500
284000,28400,8398900
285000,28500,6362000
286000,28600,10862300
287000,28700,11228400
288000,28800,8043300
289000,28900,10033200
290000,29000,8634900
291000,29100,11305900
292000,29200,11026600
293000,29300,9327000
294000,29400,8403300
295000,29500,8424200
296000,29600,12245400
297000,29700,10742100
298000,29800,11223800
299000,29900,11786600
300000,30000,11268600
301000,30100,9293800
302000,30200,10654500
303000,30300,11039700
304000,30400,12077100
305000,30500,9055100
306000,30600,15444700
307000,30700,13975600
308000,30800,10415500
309000,30900,11296400
310000,31000,12131500
311000,31100,9717000
312000,31200,12031400
313000,31300,12160700
314000,31400,11572000
315000,31500,10767700
316000,31600,11932000
317000,31700,12032300
318000,31800,11944000
319000,31900,11591600
320000,32000,9200900
321000,32100,12170900
322000,32200,9195200
323000,32300,12968200
324000,32400,8624800
325000,32500,10184600
326000,32600,9987400
327000,32700,10306100
328000,32800,9985600
329000,32900,13226700
330000,33000,10448700
331000,33100,14203400
332000,33200,12848000
333000,33300,7289900
334000,33400,16957900
335000,33500,17576000
336000,33600,12775000
337000,33700,13664100
338000,33800,10762200
339000,33900,14699900
340000,34000,12913200
341000,34100,20502800
342000,34200,7997300
343000,34300,10470600
344000,34400,13189700
345000,34500,13772400
346000,34600,16815000
347000,34700,13595500
348000,34800,16507200
349000,34900,12846100
350000,35000,17027100
351000,35100,11538200
352000,35200,15566000
353000,35300,18443900
354000,35400,13467700
355000,35500,13832800
356000,35600,15530200
357000,35700,14492100
358000,35800,15385200
359000,35900,7727500
360000,36000,16404100
361000,36100,13239500
362000,36200,15370900
363000,36300,16280700
364000,36400,14919500
365000,36500,14265700
366000,36600,13294300
367000,36700,9240400
368000,36800,16571100
369000,36900,14985800
370000,37000,18497100
371000,37100,14317000
372000,37200,14226600
373000,37300,14975500
374000,37400,14828800
375000,37500,11145800
376000,37600,14851000
377000,37700,15466500
378000,37800,15771200
379000,37900,15257700
380000,38000,15785000
381000,38100,15929700
382000,38200,17523600
383000,38300,12686800
384000,38400,16612700
385000,38500,16263700
386000,38600,17742000
387000,38700,15451700
388000,38800,15733100
389000,38900,15570700
390000,39000,16392900
391000,39100,13350600
392000,39200,16384900
393000,39300,16257600
394000,39400,15642700
395000,39500,16035900
396000,39600,17038800
397000,39700,15914600
398000,39800,8205000
399000,39900,15473900
400000,40000,17744400
401000,40100,15702400
402000,40200,16275200
403000,40300,16079000
404000,40400,16003800
405000,40500,16314500
406000,40600,14257400
407000,40700,17760700
408000,40800,23073900
409000,40900,19083200
410000,41000,16784600
411000,41100,19145800
412000,41200,16837500
413000,41300,11667800
414000,41400,17119400
415000,41500,16220400
416000,41600,18369700
417000,41700,17250800
418000,41800,16995200
419000,41900,20070400
420000,42000,11957200
421000,42100,16840000
422000,42200,17592400
423000,42300,21723200
424000,42400,17795000
425000,42500,19321000
426000,42600,17055300
427000,42700,10427300
428000,42800,18637800
429000,42900,17713400
430000,43000,18181700
431000,43100,17570700
432000,43200,17764400
433000,43300,18744000
434000,43400,14106500
435000,43500,17891600
436000,43600,21174700
437000,43700,18326200
438000,43800,19594300
439000,43900,18914500
440000,44000,20045700
441000,44100,15250000
442000,44200,18450100
443000,44300,19372500
444000,44400,20376500
445000,44500,20855600
446000,44600,21949900
447000,44700,18118200
448000,44800,28604200
449000,44900,20696900
450000,45000,18820900
451000,45100,18740600
452000,45200,19286500
453000,45300,19099300
454000,45400,20796800
455000,45500,19161500
456000,45600,19004400
457000,45700,19262200
458000,45800,19966400
459000,45900,18649900
460000,46000,21734600
461000,46100,11264100
462000,46200,22120800
463000,46300,22696900
464000,46400,19866600
465000,46500,19945600
466000,46600,19393300
467000,46700,19210100
468000,46800,20835800
469000,46900,19792900
470000,47000,20497700
471000,47100,20163800
472000,47200,20170700
473000,47300,19590300
474000,47400,14466700
475000,47500,22949600
476000,47600,22670600
477000,47700,21328700
478000,47800,22436900
479000,47900,22658300
480000,48000,15162700
481000,48100,26148300
482000,48200,24982700
483000,48300,23335300
484000,48400,21315000
485000,48500,20216300
486000,48600,15016200
487000,48700,21307600
488000,48800,23505800
489000,48900,21477300
490000,49000,23627100
491000,49100,23484000
492000,49200,15256900
493000,49300,20502500
494000,49400,20500100
495000,49500,23847400
496000,49600,20644200
497000,49700,22148100
498000,49800,16974700
499000,49900,21947300
500000,50000,22507800
501000,50100,24116200
502000,50200,21057700
503000,50300,22681800
504000,50400,18121000
505000,50500,20961800
506000,50600,29518400
507000,50700,24134400
508000,50800,21361700
509000,50900,22943900
510000,51000,19431500
511000,51100,22485400
512000,51200,21491300
513000,51300,23166600
514000,51400,23079500
515000,51500,21901100
516000,51600,26100600
517000,51700,23550000
518000,51800,24440400
519000,51900,22185500
520000,52000,23497600
521000,52100,23261300
522000,52200,22400800
523000,52300,23257200
524000,52400,27129200
525000,52500,26189800
526000,52600,30143800
527000,52700,35242500
528000,52800,28196000
529000,52900,26979000
530000,53000,24488700
531000,53100,24824300
532000,53200,28044600
533000,53300,23176600
534000,53400,28887500
535000,53500,29622700
536000,53600,30864500
537000,53700,25656000
538000,53800,17165800
539000,53900,27591600
540000,54000,34492200
541000,54100,27633600
542000,54200,28624800
543000,54300,26247100
544000,54400,23039100
545000,54500,26502600
546000,54600,29057800
547000,54700,26854100
548000,54800,27034800
549000,54900,16515600
550000,55000,27294100
551000,55100,29431400
552000,55200,29751400
553000,55300,26930500
554000,55400,17965900
555000,55500,29978000
556000,55600,26845400
557000,55700,29048700
558000,55800,31517700
559000,55900,16600300
560000,56000,30281600
561000,56100,27431100
562000,56200,30011900
563000,56300,27147900
564000,56400,17002800
565000,56500,26815900
566000,56600,29053000
567000,56700,30276800
568000,56800,29808900
569000,56900,19602200
570000,57000,30363600
571000,57100,30449300
572000,57200,30361200
573000,57300,33070600
574000,57400,19752200
575000,57500,30391600
576000,57600,27992800
577000,57700,31341400
578000,57800,27580600
579000,57900,37854800
580000,58000,18475800
581000,58100,34880800
582000,58200,32816400
583000,58300,30268900
584000,58400,58931900
585000,58500,33454800
586000,58600,28305700
587000,58700,28683900
588000,58800,44183700
589000,58900,31974300
590000,59000,26265300
591000,59100,31693000
592000,59200,20050700
593000,59300,23510200
594000,59400,29007000
595000,59500,30670000
596000,59600,31302800
597000,59700,26693900
598000,59800,18140100
599000,59900,32035800
600000,60000,36447100
601000,60100,31174400
602000,60200,34441800
603000,60300,42785500
604000,60400,50054700
605000,60500,65935900
606000,60600,36769400
607000,60700,30875400
608000,60800,41341400
609000,60900,43168600
610000,61000,24338100
611000,61100,62136900
612000,61200,32257500
613000,61300,36143300
614000,61400,57636300
615000,61500,34008900
616000,61600,29578300
617000,61700,39269300
618000,61800,43469100
619000,61900,53400700
620000,62000,31605000
621000,62100,29193700
622000,62200,59265700
623000,62300,45918300
624000,62400,29009300
625000,62500,27439200
626000,62600,27220500
627000,62700,34182900
628000,62800,20996700
629000,62900,25885300
630000,63000,27565300
631000,63100,26670000
632000,63200,29123000
633000,63300,32198000
634000,63400,26513600
635000,63500,34748400
636000,63600,33505200
637000,63700,38060400
638000,63800,34474800
639000,63900,33319700
640000,64000,25606200
641000,64100,29817900
642000,64200,30578800
643000,64300,31853100
644000,64400,29091800
645000,64500,18084600
646000,64600,28074800
647000,64700,29660700
648000,64800,31264400
649000,64900,29457500
650000,65000,27840700
651000,65100,20949100
652000,65200,29437300
653000,65300,27683700
654000,65400,32328200
655000,65500,28890900
656000,65600,20713900
657000,65700,29987200
658000,65800,31126900
659000,65900,30430500
660000,66000,29962200
661000,66100,39993700
662000,66200,34651800
663000,66300,29256900
664000,66400,30169400
665000,66500,26962400
666000,66600,32616100
667000,66700,26768100
668000,66800,29753800
669000,66900,28956600
670000,67000,28761400
671000,67100,29873900
672000,67200,24811800
673000,67300,30495900
674000,67400,29349000
675000,67500,27711400
676000,67600,30683400
677000,67700,20425800
678000,67800,33725700
679000,67900,33277700
680000,68000,37384200
681000,68100,30263800
682000,68200,19580000
683000,68300,31772000
684000,68400,28601700
685000,68500,29319500
686000,68600,35997800
687000,68700,22595500
688000,68800,36127500
689000,68900,33919700
690000,69000,31136300
691000,69100,33913500
692000,69200,21618300
693000,69300,33233200
694000,69400,32580000
695000,69500,33419300
696000,69600,31706700
697000,69700,22008000
698000,69800,30793400
699000,69900,30690500
700000,70000,31813700
701000,70100,34756600
702000,70200,22935500
703000,70300,31522600
704000,70400,32052200
705000,70500,32041600
706000,70600,31304500
707000,70700,23962500
708000,70800,32033300
709000,70900,31045700
710000,71000,33590700
711000,71100,30505400
712000,71200,23062700
713000,71300,39013900
714000,71400,31914100
715000,71500,35977700
716000,71600,35015900
717000,71700,28659400
718000,71800,36100600
719000,71900,33051700
720000,72000,38773100
721000,72100,35954700
722000,72200,35307500
723000,72300,44844700
724000,72400,40708200
725000,72500,32287800
726000,72600,39102200
727000,72700,78834900
728000,72800,154839400
729000,72900,31867900
730000,73000,73782500
731000,73100,129565500
732000,73200,44420400
733000,73300,33679600
734000,73400,33053100
735000,73500,33582000
736000,73600,36809000
737000,73700,27438100
738000,73800,35256900
739000,73900,36969900
740000,74000,35074800
741000,74100,41850200
742000,74200,39129700
743000,74300,33734500
744000,74400,33192300
745000,74500,32206900
746000,74600,35815700
747000,74700,32013600
748000,74800,35304700
749000,74900,34532000
750000,75000,34254300
751000,75100,39856200
752000,75200,30119700
753000,75300,33068300
754000,75400,36772800
755000,75500,34343500
756000,75600,32366100
757000,75700,30231900
758000,75800,36046500
759000,75900,34469600
760000,76000,37127800
761000,76100,36931700
762000,76200,32953300
763000,76300,32914200
764000,76400,35269300
765000,76500,37855200
766000,76600,33268700
767000,76700,33511900
768000,76800,40399600
769000,76900,33340200
770000,77000,35811900
771000,77100,25715300
772000,77200,37244900
773000,77300,36639400
774000,77400,37497900
775000,77500,50442700
776000,77600,36419000
777000,77700,33875200
778000,77800,36968700
779000,77900,36346500
780000,78000,26556500
781000,78100,35396600
782000,78200,39930800
783000,78300,35576400
784000,78400,46555800
785000,78500,31673100
786000,78600,37601700
787000,78700,36960500
788000,78800,34935700
789000,78900,23709400
790000,79000,36069800
791000,79100,34778700
792000,79200,36635100
793000,79300,36594700
794000,79400,35026500
795000,79500,42899300
796000,79600,37768600
797000,79700,35819900
798000,79800,24144800
799000,79900,38333400
800000,80000,37168400
801000,80100,52835900
802000,80200,46987300
803000,80300,48866800
804000,80400,35486700
805000,80500,41283500
806000,80600,51310200
807000,80700,36973100
808000,80800,42250100
809000,80900,39261000
810000,81000,47551900
811000,81100,30720500
812000,81200,44287200
813000,81300,42543400
814000,81400,39554900
815000,81500,27014900
816000,81600,48762800
817000,81700,42396500
818000,81800,40613800
819000,81900,26120900
820000,82000,43495300
821000,82100,40569500
822000,82200,41825900
823000,82300,39861400
824000,82400,39705300
825000,82500,40176700
826000,82600,43708300
827000,82700,41685900
828000,82800,32958900
829000,82900,42257800
830000,83000,43450500
831000,83100,42430500
832000,83200,29014500
833000,83300,45629500
834000,83400,42779700
835000,83500,42703300
836000,83600,28409000
837000,83700,47222700
838000,83800,41837000
839000,83900,43839000
840000,84000,28361200
841000,84100,41324300
842000,84200,41924100
843000,84300,43299400
844000,84400,27095100
845000,84500,37925300
846000,84600,41084900
847000,84700,49452600
848000,84800,33624500
849000,84900,42464500
850000,85000,44814200
851000,85100,46482600
852000,85200,30075800
853000,85300,43440100
854000,85400,42303600
855000,85500,43837900
856000,85600,31234300
857000,85700,44337500
858000,85800,44203300
859000,85900,45620800
860000,86000,30128900
861000,86100,46443100
862000,86200,46755700
863000,86300,46668000
864000,86400,30364000
865000,86500,43803400
866000,86600,44349900
867000,86700,45267000
868000,86800,31622600
869000,86900,46331700
870000,87000,44769900
871000,87100,43615300
872000,87200,32321100
873000,87300,44279500
874000,87400,42120600
875000,87500,41256400
876000,87600,33672800
877000,87700,42671600
878000,87800,42354900
879000,87900,41083300
880000,88000,30860300
881000,88100,44677800
882000,88200,42477600
883000,88300,43191900
884000,88400,31498300
885000,88500,46509900
886000,88600,43941600
887000,88700,44629900
888000,88800,33061100
889000,88900,41881300
890000,89000,42018800
891000,89100,41292800
892000,89200,32994700
893000,89300,46550300
894000,89400,43420000
895000,89500,43480200
896000,89600,34457700
897000,89700,44290400
898000,89800,43147100
899000,89900,43108200
900000,90000,32431700
901000,90100,44162700
902000,90200,44078900
903000,90300,42711000
904000,90400,35133300
905000,90500,44811900
906000,90600,45691400
907000,90700,43567200
908000,90800,34158500
909000,90900,45241000
910000,91000,47785900
911000,91100,46173200
912000,91200,37765000
913000,91300,43713100
914000,91400,44879200
915000,91500,54481000
916000,91600,39080200
917000,91700,53390300
918000,91800,52495400
919000,91900,48744900
920000,92000,37278400
921000,92100,48924400
922000,92200,49712800
923000,92300,48163300
924000,92400,40009600
925000,92500,48468700
926000,92600,52833500
927000,92700,48659800
928000,92800,40395900
929000,92900,47191300
930000,93000,51648700
931000,93100,49376500
932000,93200,42151600
933000,93300,48817100
934000,93400,49962400
935000,93500,55851100
936000,93600,44277300
937000,93700,48438000
938000,93800,58542600
939000,93900,45005800
940000,94000,41129400
941000,94100,47895700
942000,94200,48223300
943000,94300,46704500
944000,94400,53926800
945000,94500,55460400
946000,94600,50774400
947000,94700,54860400
948000,94800,45593900
949000,94900,48749900
950000,95000,48782000
951000,95100,46161800
952000,95200,67522600
953000,95300,48619200
954000,95400,70074000
955000,95500,61987100
956000,95600,87001400
957000,95700,54031600
958000,95800,50912700
959000,95900,60299600
960000,96000,60910600
961000,96100,47521500
962000,96200,50612900
963000,96300,34422400
964000,96400,50107000
965000,96500,47378800
966000,96600,35390300
967000,96700,56066800
968000,96800,52909700
969000,96900,35017600
970000,97000,49774000
971000,97100,47295800
972000,97200,34912200
973000,97300,51810300
974000,97400,49550800
975000,97500,33991400
976000,97600,47106800
977000,97700,51927000
978000,97800,39561100
979000,97900,49994600
980000,98000,50131000
981000,98100,34909400
982000,98200,53008800
983000,98300,48615900
984000,98400,36479100
985000,98500,52630700
986000,98600,50364700
987000,98700,37830200
988000,98800,50661200
989000,98900,52294000
990000,99000,39258100
991000,99100,51637400
992000,99200,49107300
993000,99300,34355800
994000,99400,51242100
995000,99500,49727400
996000,99600,34910400
997000,99700,53093500
998000,99800,73918500
999000,99900,46125500
1000000,100000,50731700
